"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp1-R0"
"04/15/2020 14:49:09:942 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-asymptomatiques","p-symptomatiques","p-immuniser","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"146","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","917","0.999034749034749","9.641545893719806","103.14589371980676","1"
"147","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","847","1","9.884169884169884","104.52895752895753","0.9980694980694981"
"148","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","720","1","10.41988416988417","100.23648648648648","1"
"149","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","831","1","9.695945945945946","100.85714285714286","0.999034749034749"
"150","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","686","1","10.108108108108109","98.40250965250965","1"
"151","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","800","1","9.88996138996139","100.42953667953668","0.999034749034749"
"152","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","896","0.9980694980694981","9.676015473887814","95.33558994197293","1"
"153","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","715","1","9.936293436293436","99.04826254826254","1"
"155","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","776","1","10.094594594594595","101.3523166023166","1"
"156","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","755","1","10.16891891891892","99.47393822393822","1"
"157","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","736","1","10.114864864864865","101.61293436293437","1"
"154","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","922","1","10.365830115830116","94.16795366795367","1"
"158","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","719","1","9.696911196911197","100.51351351351352","1"
"160","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","630","1","9.33108108108108","100.01254826254826","1"
"161","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","885","1","10.138030888030888","101.72297297297297","0.999034749034749"
"162","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","1083","1","10.004826254826256","103.27799227799228","0.999034749034749"
"164","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","706","0.9980694980694981","9.627659574468085","105.88781431334623","0.9970986460348162"
"159","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","870","1","10.313706563706564","103.62837837837837","1"
"163","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","708","1","9.63899613899614","99.73648648648648","0.999034749034749"
"165","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","899","1","10.172779922779922","99.54247104247104","1"
"167","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","825","0.999034749034749","9.982608695652173","102.73816425120773","1"
"168","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","744","1","9.444980694980694","107.68532818532819","0.9980694980694981"
"166","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","869","1","10.177606177606178","103.06274131274131","0.9980694980694981"
"170","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","769","1","10.583011583011583","97.56853281853282","0.999034749034749"
"171","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","764","1","10.11872586872587","101.3050193050193","1"
